county_fips,candidatevotes,totalvotes
5111,3135,7521
5111,2568,7521
5111,66,7521
5113,377,8490
5113,4739,8490
5113,1902,8490
5113,17,8490
5115,930,24432
5115,14281,24432
5115,2870,24432
5115,0,24432
5117,62,3495
5117,1510,3495
5117,1192,3495
5117,22,3495
5119,5859,169956
5119,40576,169956
5119,16917,169956
5119,335,169956
5121,218,6812
5121,3714,6812
5121,1411,6812
5121,12,6812
5123,128,7108
5123,1979,7108
5123,1135,7108
5123,0,7108
5125,1852,56959
5125,30778,56959
5125,6926,56959
5125,0,56959
5127,129,3551
5127,1593,3551
5127,1240,3551
5127,0,3551
5129,142,4019
5129,2233,4019
5129,990,4019
5129,0,4019
5131,1601,47140
5131,22808,47140
5131,6789,47140
5131,0,47140
5133,164,5202
5133,2368,5202
5133,1343,5202
5133,9,5202
5135,311,7566
5135,4208,7566
5135,1414,7566
5135,5,7566
5137,197,5938
5137,2888,5938
5137,1531,5938
5137,0,5938
5139,543,16607
5139,5398,16607
5139,4505,16607
5139,32,16607
5141,315,7807
5141,4350,7807
5141,1297,7807
5141,72,7807
5143,3894,94266
5143,31520,94266
5143,12090,94266
5143,0,94266
5145,1032,30885
5145,15954,30885
5145,7196,30885
5145,0,30885
5147,46,2476
5147,771,2476
5147,726,2476
5147,0,2476
5149,181,6741
5149,3507,6741
5149,1518,6741
5149,20,6741
6001,136309,770070
6003,244,741
6005,13585,22304
6007,48730,102066
6009,16518,27164
6011,4559,7961
6013,152877,581316
6015,6461,11453
6017,61838,116159
6019,164464,364917
6021,7063,11297
6023,21770,68843
6025,20847,56743
6027,4620,9484
6029,164484,305292
6031,24072,43861
6033,13123,28812
6035,8970,11987
6037,1145530,4264365
6039,29378,53732
6041,24612,155830
6043,5950,10280
6045,13267,43340
6047,39397,90554
6049,3109,4343
6051,2513,6738
6053,46299,163923
6055,20676,72150
6057,26779,64750
6059,676498,1522113
6061,122488,235084
6063,6445,11260
6065,449144,997156
6067,259405,718440
6069,10590,28830
6071,366257,841130
6073,600094,1602143
6075,56417,443553
6077,121098,288492
6079,67436,159714
6081,75584,374251
6083,65736,200339
6085,214612,850741
6087,26937,144837
6089,60789,92930
6091,1142,1931
6093,13290,23472
6095,69306,205877
6097,61825,268317
6099,104145,214954
6101,24375,42644
6103,19141,28731
6105,3188,6259
6107,77579,146885
6109,17689,30408
6111,162207,422825
6113,27292,97294
6115,17676,29796
8001,95657,236740
8003,3813,7808
8005,127323,350183
8007,5189,9144
8009,1867,2225
8011,1503,2274
8013,42501,206111
8014,16295,46632
8015,6222,13718
8017,993,1136
8019,2754,6548
8021,2286,4333
8023,741,2094
8025,1271,1750
8027,2474,3635
8029,13081,19370
8031,71618,393829
